nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/policy_distillation/src/wandb/run-20250304_054002-rhyduq17
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_da_spaceinvaders
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/rhyduq17
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.001
  PROB: 0.3
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: SpaceInvadersNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: DA
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_da_spaceinvaders
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, DA
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 20. train_acc:  56.1, train_loss:  0.864, data_points:  5.4e+05, total_data_gen_time:  85.8, train_time:  0.00521, data_load_time:  7.87e-07, total_eval_time:  5.49, test_score:  2.5e+03, best_score:  2.5e+03, current lr:  0.0001, 
Epoch 21. train_acc:  56.4, train_loss:  0.86, data_points:  5.4e+05, total_data_gen_time:  84.6, train_time:  0.00528, data_load_time:  7.29e-07, total_eval_time:  7.53, test_score:  980, best_score:  2.5e+03, current lr:  0.0001, 
Epoch 22. train_acc:  56.5, train_loss:  0.857, data_points:  5.4e+05, total_data_gen_time:  85.6, train_time:  0.00542, data_load_time:  7.58e-07, total_eval_time:  4.21, test_score:  830, best_score:  2.5e+03, current lr:  0.0001, 
Epoch 23. train_acc:  56.7, train_loss:  0.854, data_points:  5.4e+05, total_data_gen_time:  86.2, train_time:  0.00527, data_load_time:  7.24e-07, total_eval_time:  5.31, test_score:  2.29e+03, best_score:  2.5e+03, current lr:  0.0001, 
Epoch 24. train_acc:  56.9, train_loss:  0.849, data_points:  5.4e+05, total_data_gen_time:  85.1, train_time:  0.00526, data_load_time:  7.35e-07, total_eval_time:  4.38, test_score:  1.52e+03, best_score:  2.5e+03, current lr:  0.0001, 
Epoch 25. train_acc:  57.2, train_loss:  0.843, data_points:  5.4e+05, total_data_gen_time:  86, train_time:  0.00528, data_load_time:  7.15e-07, total_eval_time:  7.16, test_score:  1.46e+03, best_score:  2.5e+03, current lr:  0.0001, 
Epoch 26. train_acc:  57.2, train_loss:  0.842, data_points:  5.4e+05, total_data_gen_time:  84.7, train_time:  0.00523, data_load_time:  7.71e-07, total_eval_time:  4.7, test_score:  1.26e+03, best_score:  2.5e+03, current lr:  0.0001, 
Epoch 27. train_acc:  57.2, train_loss:  0.839, data_points:  5.4e+05, total_data_gen_time:  85, train_time:  0.00521, data_load_time:  8.09e-07, total_eval_time:  3.98, test_score:  855, best_score:  2.5e+03, current lr:  0.0001, 
Epoch 28. train_acc:  57.4, train_loss:  0.837, data_points:  5.4e+05, total_data_gen_time:  87.1, train_time:  0.00536, data_load_time:  7.06e-07, total_eval_time:  3.9, test_score:  1.02e+03, best_score:  2.5e+03, current lr:  0.0001, 
Epoch 29. train_acc:  57.6, train_loss:  0.831, data_points:  5.4e+05, total_data_gen_time:  85.8, train_time:  0.00521, data_load_time:  7.73e-07, total_eval_time:  5.78, test_score:  1.23e+03, best_score:  2.5e+03, current lr:  0.0001, 
Epoch 30. train_acc:  57.8, train_loss:  0.826, data_points:  5.4e+05, total_data_gen_time:  85.8, train_time:  0.00509, data_load_time:  7.67e-07, total_eval_time:  5.22, test_score:  1.78e+03, best_score:  2.5e+03, current lr:  0.0001, 
Epoch 31. train_acc:  58, train_loss:  0.822, data_points:  5.4e+05, total_data_gen_time:  86.1, train_time:  0.00525, data_load_time:  7.69e-07, total_eval_time:  5.7, test_score:  1.29e+03, best_score:  2.5e+03, current lr:  0.0001, 
Epoch 32. train_acc:  58.1, train_loss:  0.82, data_points:  5.4e+05, total_data_gen_time:  85, train_time:  0.00525, data_load_time:  7.34e-07, total_eval_time:  3.8, test_score:  535, best_score:  2.5e+03, current lr:  0.0001, 
Epoch 33. train_acc:  58.3, train_loss:  0.816, data_points:  5.4e+05, total_data_gen_time:  85, train_time:  0.00519, data_load_time:  8.2e-07, total_eval_time:  5.63, test_score:  1.36e+03, best_score:  2.5e+03, current lr:  0.0001, 
Epoch 34. train_acc:  58.2, train_loss:  0.816, data_points:  5.4e+05, total_data_gen_time:  88.1, train_time:  0.0052, data_load_time:  7.54e-07, total_eval_time:  4.36, test_score:  1.74e+03, best_score:  2.5e+03, current lr:  0.0001, 
Epoch 35. train_acc:  58.3, train_loss:  0.816, data_points:  5.4e+05, total_data_gen_time:  85.3, train_time:  0.00542, data_load_time:  7.69e-07, total_eval_time:  5.89, test_score:  2.1e+03, best_score:  2.5e+03, current lr:  0.0001, 
Epoch 36. train_acc:  58.5, train_loss:  0.812, data_points:  5.4e+05, total_data_gen_time:  85.2, train_time:  0.00568, data_load_time:  8.58e-07, total_eval_time:  5.76, test_score:  2.5e+03, best_score:  2.5e+03, current lr:  0.0001, 
Epoch 37. train_acc:  58.7, train_loss:  0.809, data_points:  5.4e+05, total_data_gen_time:  87.3, train_time:  0.00518, data_load_time:  7.6e-07, total_eval_time:  5.83, test_score:  1.46e+03, best_score:  2.5e+03, current lr:  0.0001, 
Epoch 38. train_acc:  58.7, train_loss:  0.808, data_points:  5.4e+05, total_data_gen_time:  84.8, train_time:  0.00538, data_load_time:  7.81e-07, total_eval_time:  6.16, test_score:  1.27e+03, best_score:  2.5e+03, current lr:  0.0001, 
Epoch 39. train_acc:  58.9, train_loss:  0.806, data_points:  5.4e+05, total_data_gen_time:  85.4, train_time:  0.00534, data_load_time:  7.14e-07, total_eval_time:  5.18, test_score:  1.55e+03, best_score:  2.5e+03, current lr:  0.0001, 
Epoch 40. train_acc:  58.9, train_loss:  0.803, data_points:  5.4e+05, total_data_gen_time:  86.5, train_time:  0.00545, data_load_time:  8.08e-07, total_eval_time:  4.23, test_score:  1.12e+03, best_score:  2.5e+03, current lr:  0.0001, 
Epoch 41. train_acc:  59, train_loss:  0.801, data_points:  5.4e+05, total_data_gen_time:  86.1, train_time:  0.00506, data_load_time:  7.75e-07, total_eval_time:  5.2, test_score:  2.48e+03, best_score:  2.5e+03, current lr:  0.0001, 
Epoch 42. train_acc:  59, train_loss:  0.799, data_points:  5.4e+05, total_data_gen_time:  86.8, train_time:  0.00537, data_load_time:  7.99e-07, total_eval_time:  4.63, test_score:  1.33e+03, best_score:  2.5e+03, current lr:  0.0001, 
Epoch 43. train_acc:  59.2, train_loss:  0.799, data_points:  5.4e+05, total_data_gen_time:  86, train_time:  0.00553, data_load_time:  7.95e-07, total_eval_time:  6.13, test_score:  3.03e+03, best_score:  3.03e+03, current lr:  0.0001, 
Epoch 44. train_acc:  59.2, train_loss:  0.797, data_points:  5.4e+05, total_data_gen_time:  85.4, train_time:  0.00528, data_load_time:  8.27e-07, total_eval_time:  5.21, test_score:  1.32e+03, best_score:  3.03e+03, current lr:  0.0001, 
Epoch 45. train_acc:  59.3, train_loss:  0.797, data_points:  5.4e+05, total_data_gen_time:  86.6, train_time:  0.0052, data_load_time:  7.95e-07, total_eval_time:  3.72, test_score:  1.14e+03, best_score:  3.03e+03, current lr:  0.0001, 
Epoch 46. train_acc:  59.2, train_loss:  0.796, data_points:  5.4e+05, total_data_gen_time:  86.1, train_time:  0.00536, data_load_time:  6.8e-07, total_eval_time:  4.55, test_score:  1.74e+03, best_score:  3.03e+03, current lr:  0.0001, 
Epoch 47. train_acc:  59.3, train_loss:  0.796, data_points:  5.4e+05, total_data_gen_time:  85.9, train_time:  0.00539, data_load_time:  7.78e-07, total_eval_time:  5.1, test_score:  2.69e+03, best_score:  3.03e+03, current lr:  0.0001, 
Epoch 48. train_acc:  59.3, train_loss:  0.794, data_points:  5.4e+05, total_data_gen_time:  84.9, train_time:  0.00519, data_load_time:  8.28e-07, total_eval_time:  4.67, test_score:  900, best_score:  3.03e+03, current lr:  0.0001, 
Epoch 49. train_acc:  59.3, train_loss:  0.793, data_points:  5.4e+05, total_data_gen_time:  86.3, train_time:  0.00559, data_load_time:  7.56e-07, total_eval_time:  5.53, test_score:  1.92e+03, best_score:  3.03e+03, current lr:  0.0001, 
Epoch 50. train_acc:  59.2, train_loss:  0.794, data_points:  5.4e+05, total_data_gen_time:  85, train_time:  0.00554, data_load_time:  8.06e-07, total_eval_time:  4.98, test_score:  1.9e+03, best_score:  3.03e+03, current lr:  0.0001, 
Epoch 51. train_acc:  59.2, train_loss:  0.797, data_points:  5.4e+05, total_data_gen_time:  85.7, train_time:  0.00554, data_load_time:  7.91e-07, total_eval_time:  6.02, test_score:  3.24e+03, best_score:  3.24e+03, current lr:  0.0001, 
Epoch 52. train_acc:  59.4, train_loss:  0.792, data_points:  5.4e+05, total_data_gen_time:  86, train_time:  0.00547, data_load_time:  8.24e-07, total_eval_time:  5.14, test_score:  1.55e+03, best_score:  3.24e+03, current lr:  0.0001, 
Epoch 53. train_acc:  59.4, train_loss:  0.789, data_points:  5.4e+05, total_data_gen_time:  87.6, train_time:  0.00564, data_load_time:  8.06e-07, total_eval_time:  5.14, test_score:  1.14e+03, best_score:  3.24e+03, current lr:  0.0001, 
Epoch 54. train_acc:  59.6, train_loss:  0.786, data_points:  5.4e+05, total_data_gen_time:  85.1, train_time:  0.00525, data_load_time:  7.91e-07, total_eval_time:  5.92, test_score:  2.3e+03, best_score:  3.24e+03, current lr:  0.0001, 
Epoch 55. train_acc:  59.6, train_loss:  0.785, data_points:  5.4e+05, total_data_gen_time:  87.8, train_time:  0.00548, data_load_time:  7.68e-07, total_eval_time:  6.4, test_score:  1.6e+03, best_score:  3.24e+03, current lr:  0.0001, 
Epoch 56. train_acc:  59.6, train_loss:  0.785, data_points:  5.4e+05, total_data_gen_time:  86.7, train_time:  0.00547, data_load_time:  7e-07, total_eval_time:  4.31, test_score:  1.48e+03, best_score:  3.24e+03, current lr:  0.0001, 
