nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/Projects/policy_distillation/src/wandb/run-20250304_034821-h13gwbcf
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_da_mspacman
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/h13gwbcf
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.001
  PROB: 0.3
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: MsPacmanNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: DA
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_da_mspacman
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, DA
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 19. train_acc:  59.8, train_loss:  0.838, data_points:  5.4e+05, total_data_gen_time:  82.4, train_time:  0.00567, data_load_time:  1.11e-06, total_eval_time:  5.22, test_score:  9.71e+03, best_score:  1.29e+04, current lr:  0.0001, 
Epoch 20. train_acc:  60.3, train_loss:  0.826, data_points:  5.4e+05, total_data_gen_time:  83.5, train_time:  0.00571, data_load_time:  1.09e-06, total_eval_time:  5.47, test_score:  1.13e+04, best_score:  1.29e+04, current lr:  0.0001, 
Epoch 21. train_acc:  60.4, train_loss:  0.823, data_points:  5.4e+05, total_data_gen_time:  85, train_time:  0.00574, data_load_time:  1.16e-06, total_eval_time:  6.37, test_score:  1.34e+04, best_score:  1.34e+04, current lr:  0.0001, 
Epoch 22. train_acc:  60.7, train_loss:  0.814, data_points:  5.4e+05, total_data_gen_time:  85.8, train_time:  0.00545, data_load_time:  1.1e-06, total_eval_time:  6.77, test_score:  9.66e+03, best_score:  1.34e+04, current lr:  0.0001, 
Epoch 23. train_acc:  60.8, train_loss:  0.809, data_points:  5.4e+05, total_data_gen_time:  86.9, train_time:  0.0058, data_load_time:  1.02e-06, total_eval_time:  7.55, test_score:  1.55e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 24. train_acc:  60.9, train_loss:  0.805, data_points:  5.4e+05, total_data_gen_time:  85.8, train_time:  0.00577, data_load_time:  1.12e-06, total_eval_time:  5.85, test_score:  1.04e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 25. train_acc:  61.1, train_loss:  0.801, data_points:  5.4e+05, total_data_gen_time:  86.6, train_time:  0.00594, data_load_time:  1.12e-06, total_eval_time:  6.8, test_score:  1.15e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 26. train_acc:  61.3, train_loss:  0.793, data_points:  5.4e+05, total_data_gen_time:  86.1, train_time:  0.00551, data_load_time:  1.1e-06, total_eval_time:  5.33, test_score:  1.03e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 27. train_acc:  61.4, train_loss:  0.79, data_points:  5.4e+05, total_data_gen_time:  88.5, train_time:  0.00575, data_load_time:  1.07e-06, total_eval_time:  6.25, test_score:  1.09e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 28. train_acc:  61.7, train_loss:  0.784, data_points:  5.4e+05, total_data_gen_time:  86.5, train_time:  0.00583, data_load_time:  1e-06, total_eval_time:  5.89, test_score:  1.04e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 29. train_acc:  61.7, train_loss:  0.784, data_points:  5.4e+05, total_data_gen_time:  85.7, train_time:  0.00588, data_load_time:  1.09e-06, total_eval_time:  6.68, test_score:  1.18e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 30. train_acc:  61.7, train_loss:  0.785, data_points:  5.4e+05, total_data_gen_time:  87.1, train_time:  0.00564, data_load_time:  1.08e-06, total_eval_time:  5.92, test_score:  1.05e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 31. train_acc:  62, train_loss:  0.779, data_points:  5.4e+05, total_data_gen_time:  87.7, train_time:  0.00606, data_load_time:  1.12e-06, total_eval_time:  6.12, test_score:  9.81e+03, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 32. train_acc:  61.9, train_loss:  0.78, data_points:  5.4e+05, total_data_gen_time:  85.4, train_time:  0.0058, data_load_time:  1.07e-06, total_eval_time:  5.81, test_score:  1.09e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 33. train_acc:  62, train_loss:  0.778, data_points:  5.4e+05, total_data_gen_time:  86.2, train_time:  0.00581, data_load_time:  1.07e-06, total_eval_time:  6.76, test_score:  1.08e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 34. train_acc:  62.2, train_loss:  0.773, data_points:  5.4e+05, total_data_gen_time:  89.1, train_time:  0.00567, data_load_time:  1.02e-06, total_eval_time:  6.22, test_score:  9.85e+03, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 35. train_acc:  62.4, train_loss:  0.77, data_points:  5.4e+05, total_data_gen_time:  85.7, train_time:  0.00584, data_load_time:  1.15e-06, total_eval_time:  5.66, test_score:  1.02e+04, best_score:  1.55e+04, current lr:  0.0001, 
Epoch 36. train_acc:  62.3, train_loss:  0.772, data_points:  5.4e+05, total_data_gen_time:  85.7, train_time:  0.00578, data_load_time:  1.13e-06, total_eval_time:  6.73, test_score:  1.07e+04, best_score:  1.55e+04, current lr:  0.0001, 
