nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/Projects/policy_distillation/src/wandb/run-20250305_054859-0lras3xf
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_da_00001_beamrider
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/0lras3xf
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 1.0e-05
  PROB: 0.3
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: BeamRiderNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: DA
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_da_00001_beamrider
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, DA
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 20. train_acc:  41.8, train_loss:  0.849, data_points:  5.4e+05, total_data_gen_time:  81.1, train_time:  0.00321, data_load_time:  5.87e-07, total_eval_time:  42.4, test_score:  1.23e+03, best_score:  3.5e+03, current lr:  0.0001, 
Epoch 21. train_acc:  42.2, train_loss:  0.841, data_points:  5.4e+05, total_data_gen_time:  80.1, train_time:  0.00306, data_load_time:  5.62e-07, total_eval_time:  55.1, test_score:  2.34e+03, best_score:  3.5e+03, current lr:  0.0001, 
Epoch 22. train_acc:  42.6, train_loss:  0.835, data_points:  5.4e+05, total_data_gen_time:  64, train_time:  0.00254, data_load_time:  4.77e-07, total_eval_time:  8.6, test_score:  2.64e+03, best_score:  3.5e+03, current lr:  0.0001, 
Epoch 23. train_acc:  42.6, train_loss:  0.831, data_points:  5.4e+05, total_data_gen_time:  60.7, train_time:  0.00279, data_load_time:  5.16e-07, total_eval_time:  28.9, test_score:  1.33e+03, best_score:  3.5e+03, current lr:  0.0001, 
Epoch 24. train_acc:  43.1, train_loss:  0.824, data_points:  5.4e+05, total_data_gen_time:  59.3, train_time:  0.00278, data_load_time:  4.85e-07, total_eval_time:  30.6, test_score:  1.45e+03, best_score:  3.5e+03, current lr:  0.0001, 
Epoch 25. train_acc:  43.2, train_loss:  0.825, data_points:  5.4e+05, total_data_gen_time:  60.8, train_time:  0.00339, data_load_time:  5.3e-07, total_eval_time:  82.3, test_score:  1.36e+03, best_score:  3.5e+03, current lr:  0.0001, 
Epoch 26. train_acc:  43.3, train_loss:  0.816, data_points:  5.4e+05, total_data_gen_time:  80.9, train_time:  0.0037, data_load_time:  6e-07, total_eval_time:  8.47, test_score:  2.79e+03, best_score:  3.5e+03, current lr:  0.0001, 
Epoch 27. train_acc:  43.7, train_loss:  0.805, data_points:  5.4e+05, total_data_gen_time:  80.1, train_time:  0.00321, data_load_time:  4.77e-07, total_eval_time:  6.63, test_score:  2.16e+03, best_score:  3.5e+03, current lr:  0.0001, 
Epoch 28. train_acc:  44, train_loss:  0.8, data_points:  5.4e+05, total_data_gen_time:  63.9, train_time:  0.00307, data_load_time:  4.71e-07, total_eval_time:  74.1, test_score:  2.22e+03, best_score:  3.5e+03, current lr:  0.0001, 
Epoch 29. train_acc:  44.2, train_loss:  0.796, data_points:  5.4e+05, total_data_gen_time:  61.1, train_time:  0.00284, data_load_time:  4.81e-07, total_eval_time:  32.1, test_score:  3.57e+03, best_score:  3.57e+03, current lr:  0.0001, 
Epoch 30. train_acc:  44.1, train_loss:  0.801, data_points:  5.4e+05, total_data_gen_time:  62, train_time:  0.0033, data_load_time:  5.63e-07, total_eval_time:  10.5, test_score:  3.55e+03, best_score:  3.57e+03, current lr:  0.0001, 
Epoch 31. train_acc:  44.1, train_loss:  0.803, data_points:  5.4e+05, total_data_gen_time:  81.6, train_time:  0.00269, data_load_time:  4.57e-07, total_eval_time:  103, test_score:  2.54e+03, best_score:  3.57e+03, current lr:  0.0001, 
Epoch 32. train_acc:  44.3, train_loss:  0.801, data_points:  5.4e+05, total_data_gen_time:  62.5, train_time:  0.00308, data_load_time:  5.33e-07, total_eval_time:  10.3, test_score:  5.03e+03, best_score:  5.03e+03, current lr:  0.0001, 
Epoch 33. train_acc:  44.5, train_loss:  0.796, data_points:  5.4e+05, total_data_gen_time:  61.6, train_time:  0.0029, data_load_time:  5.3e-07, total_eval_time:  7.6, test_score:  2.68e+03, best_score:  5.03e+03, current lr:  0.0001, 
