nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /home/yw3809/Projects/policy_distillation/src/wandb/run-20250311_160852-3k76eksh
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn5_pd_beamrider
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/3k76eksh
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.01778
  PROB: 0.7374
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: BeamRiderNoFrameskip-v4
  STUDENT: dqn5
  TEACHER: dqn
  TYPE: PD
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn5_pd_beamrider
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, PD
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 20. train_acc:  34.8, train_loss:  0.96, data_points:  5.4e+05, total_data_gen_time:  32.8, train_time:  0.000553, data_load_time:  2.66e-07, total_eval_time:  3.81, test_score:  176, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 21. train_acc:  34.8, train_loss:  0.957, data_points:  5.4e+05, total_data_gen_time:  32.9, train_time:  0.000554, data_load_time:  2.62e-07, total_eval_time:  3.5, test_score:  1.89e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 22. train_acc:  34.9, train_loss:  0.958, data_points:  5.4e+05, total_data_gen_time:  33.2, train_time:  0.000543, data_load_time:  2.63e-07, total_eval_time:  5.45, test_score:  2.02e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 23. train_acc:  34.9, train_loss:  0.96, data_points:  5.4e+05, total_data_gen_time:  33.1, train_time:  0.000584, data_load_time:  2.7e-07, total_eval_time:  4.13, test_score:  308, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 24. train_acc:  35, train_loss:  0.957, data_points:  5.4e+05, total_data_gen_time:  33.7, train_time:  0.000594, data_load_time:  2.76e-07, total_eval_time:  3.87, test_score:  2.46e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 25. train_acc:  35.2, train_loss:  0.957, data_points:  5.4e+05, total_data_gen_time:  34, train_time:  0.000623, data_load_time:  2.59e-07, total_eval_time:  4.22, test_score:  2.51e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 26. train_acc:  35.3, train_loss:  0.958, data_points:  5.4e+05, total_data_gen_time:  33.9, train_time:  0.000595, data_load_time:  2.64e-07, total_eval_time:  4.1, test_score:  1.85e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 27. train_acc:  35.6, train_loss:  0.953, data_points:  5.4e+05, total_data_gen_time:  33.7, train_time:  0.000554, data_load_time:  2.68e-07, total_eval_time:  3.67, test_score:  2.12e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 28. train_acc:  35.7, train_loss:  0.949, data_points:  5.4e+05, total_data_gen_time:  34.3, train_time:  0.00061, data_load_time:  2.75e-07, total_eval_time:  27.8, test_score:  2.73e+03, best_score:  3.28e+03, current lr:  0.0001, 
Epoch 29. train_acc:  35.8, train_loss:  0.952, data_points:  5.4e+05, total_data_gen_time:  33.3, train_time:  0.000615, data_load_time:  2.71e-07, total_eval_time:  4.09, test_score:  308, best_score:  3.28e+03, current lr:  0.0001, 
